co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
1468.66,14.75,21.93,1.01,15.5,23.35,41.59,8.11,1/1/2025 0:00
2643.59,38.44,25.7,0.98,24.08,36.97,61.97,11.53,1/1/2025 1:00
2964.02,45.15,30.16,1.1,29.09,41.61,69.86,14.44,1/1/2025 2:00
2323.15,32.63,33.93,1.48,30.28,34.91,61.08,14.44,1/1/2025 3:00
1108.17,8.16,33.24,4.69,25.75,16.2,27.36,6.46,1/1/2025 4:00
907.9,4.14,31.53,9.66,23.6,13.72,20.83,4.18,1/1/2025 5:00
947.95,3.38,27.42,18.42,20.5,13.61,19.71,3.55,1/1/2025 6:00
1134.87,4.47,29.13,27.89,21.46,16.33,23.64,4.24,1/1/2025 7:00
1428.6,4.3,37.01,25.03,22.41,21.41,30.67,5.26,1/1/2025 8:00
1815.8,4.97,49.35,17.17,25.51,28.29,39.12,5.76,1/1/2025 9:00
2750.4,16.76,70.6,3.76,33.38,45.4,59.54,6.84,1/1/2025 10:00
3791.81,39.79,78.14,0.22,38.62,65.55,84.68,8.23,1/1/2025 11:00
3898.62,46.04,65.12,0,33.38,72.75,97.45,10.26,1/1/2025 12:00
3791.81,46.49,48.67,0,30.04,74.86,108.4,12.92,1/1/2025 13:00
3311.16,40.68,34.96,0,26.94,69.28,112.14,13.43,1/1/2025 14:00
2777.1,33.53,26.05,0,22.89,60.76,108.75,12.92,1/1/2025 15:00
2403.26,29.95,21.59,0,19.79,49.55,94.87,10.89,1/1/2025 16:00
1949.31,24.59,19.02,0,15.97,33.93,68.88,7.09,1/1/2025 17:00
1415.25,16.32,17.48,0.01,12.76,24.86,51.81,5.51,1/1/2025 18:00
1041.41,8.94,16.45,0.1,10.37,20.88,43.89,4.94,1/1/2025 19:00
894.55,6.03,16.11,0.24,9.54,20.5,42.23,4.94,1/1/2025 20:00
867.84,6.03,16.11,0.2,9.89,21.96,43.75,5.07,1/1/2025 21:00
961.3,8.83,16.11,0.05,11.32,24.68,47.52,5.45,1/1/2025 22:00
1295.09,16.32,16.45,0,14.19,31.07,57.41,6.71,1/1/2025 23:00
2777.1,44.7,19.19,0.09,24.08,57.23,96.29,12.16,1/2/2025 0:00
5340.58,96.56,25.7,0.3,40.53,92,145.38,18.49,1/2/2025 1:00
6301.88,116.23,30.85,0.51,47.68,102.61,163.06,24.57,1/2/2025 2:00
5233.76,93.88,32.56,0.83,44.35,88.13,145.61,26.85,1/2/2025 3:00
1562.12,19.67,25.7,4.6,20.5,23.3,40.93,9.63,1/2/2025 4:00
1161.58,11.18,28.1,9.83,21.93,16.16,27.97,7.47,1/2/2025 5:00
1174.93,8.27,35.3,15.91,26.7,16.7,27.65,6.97,1/2/2025 6:00
1174.93,2.99,41.47,18.06,28.61,17.17,27.53,6.46,1/2/2025 7:00
1174.93,1.38,41.13,22.89,28.37,17.93,27.94,6.14,1/2/2025 8:00
1228.33,0.98,43.53,24.68,29.8,19.11,28.77,5.95,1/2/2025 9:00
1815.8,3.74,60.32,11.35,36.24,25.92,39.09,7.98,1/2/2025 10:00
2883.91,18.33,71.97,0.63,44.82,40.47,63,12.29,1/2/2025 11:00
3284.45,24.14,74.03,0.02,47.21,56.67,89.93,15.83,1/2/2025 12:00
3471.37,27.94,75.4,0,51.98,75.3,118.35,18.75,1/2/2025 13:00
3685,37.1,68.55,0,48.16,89.24,143.9,22.04,1/2/2025 14:00
3631.59,42.92,50.72,0,34.81,88.82,151.43,22.55,1/2/2025 15:00
3204.35,42.47,31.87,0,25.27,71.71,131.74,17.48,1/2/2025 16:00
2777.1,40.23,23.65,0,20.27,54.71,107.58,11.27,1/2/2025 17:00
2323.15,33.97,20.39,0,16.69,47.17,95.64,8.36,1/2/2025 18:00
2403.26,34.42,19.36,0,14.42,58.67,112.86,7.54,1/2/2025 19:00
2883.91,41.13,19.36,0,14.07,83.03,149.41,8.36,1/2/2025 20:00
3578.19,52.75,20.05,0,15.5,115.31,197.56,10.01,1/2/2025 21:00
5020.14,80.47,22.96,0,18.84,172.43,279.68,11.91,1/2/2025 22:00
6942.75,116.23,27.08,0,24.32,234.3,363.81,13.68,1/2/2025 23:00
10574.34,187.75,35.99,0.2,42.44,321.84,475.69,21.53,1/3/2025 0:00
13885.5,246.76,60.32,1.18,63.9,357.38,505.89,25.84,1/3/2025 1:00
15380.86,257.49,104.19,2.46,76.29,352.49,488.36,34.45,1/3/2025 2:00
11749.27,169.87,119.27,2.66,66.76,252.51,358.34,40.02,1/3/2025 3:00
2029.42,18.55,37.36,5.54,19.07,33.72,55.97,10.64,1/3/2025 4:00
1108.17,7.04,25.36,10.64,15.74,15.37,26.72,6.97,1/3/2025 5:00
1054.76,5.25,29.47,18.6,20.03,17.39,27.05,6.08,1/3/2025 6:00
1268.39,4.64,41.81,31.83,30.99,28.89,39.85,6.52,1/3/2025 7:00
1482.01,3.41,50.04,50.78,37.67,40.32,52.87,7.22,1/3/2025 8:00
1682.28,2.32,53.47,60.8,37.67,44.45,57.54,7.41,1/3/2025 9:00
2349.85,2.37,73.34,40.41,41.48,49.08,63.14,8.04,1/3/2025 10:00
3337.86,6.87,95.96,7.42,47.68,59.62,77.73,9.88,1/3/2025 11:00
3738.4,19.22,87.74,0.17,48.16,71.24,96.5,12.67,1/3/2025 12:00
5500.79,58.11,80.2,0,53.41,114.78,162.13,21.03,1/3/2025 13:00
7797.24,102.82,76.77,0,56.74,179.8,260.17,26.09,1/3/2025 14:00
9078.98,126.96,71.97,0,53.41,227.9,338.95,27.36,1/3/2025 15:00
9719.85,141.26,66.49,0,49.11,244.37,376.81,25.84,1/3/2025 16:00
9719.85,150.2,61.69,0,44.35,233.79,371.82,23.05,1/3/2025 17:00
9292.6,146.63,58.26,0,39.1,230.05,375.55,26.6,1/3/2025 18:00
8117.68,126.96,52.78,0,33.38,220.15,367.56,30.91,1/3/2025 19:00
7263.18,111.76,48.67,0,28.37,213.37,358.97,31.41,1/3/2025 20:00
7156.37,109.08,47.3,0,25.99,225.89,371.5,32.17,1/3/2025 21:00
7583.62,116.23,48.67,0,25.03,249.67,395.26,28.88,1/3/2025 22:00
7263.18,112.65,43.87,0,23.37,232.9,361.75,20.77,1/3/2025 23:00
7049.56,113.55,37.01,0.42,28.85,198.78,304.42,19.25,1/4/2025 0:00
5714.42,94.77,35.3,1.92,33.38,126.18,193.74,18.75,1/4/2025 1:00
5233.76,81.36,41.47,2.73,36.72,95.81,151.3,24.32,1/4/2025 2:00
3578.19,48.73,39.76,2.3,30.99,62.89,108.12,24.07,1/4/2025 3:00
1014.71,5.98,18.51,8.23,10.13,12.34,23.94,7.54,1/4/2025 4:00
741,3.74,12.17,15.38,7.15,6.87,12.73,4.88,1/4/2025 5:00
741,3.91,11.65,20.56,6.97,6.19,11.06,4.37,1/4/2025 6:00
747.68,3.27,12.17,23.96,6.68,5.88,10.21,4.05,1/4/2025 7:00
747.68,2.65,13.54,20.03,6.62,5.53,9.56,3.96,1/4/2025 8:00
781.06,2.26,15.59,11.8,6.85,5.27,9.16,3.8,1/4/2025 9:00
947.95,4.36,18.68,4.43,8.34,6.18,11.34,4.43,1/4/2025 10:00
1108.17,8.16,19.19,1.03,10.13,8.14,15.76,5.89,1/4/2025 11:00
1121.52,9.28,17.48,0.32,10.49,10.42,21.08,7.41,1/4/2025 12:00
2189.64,29.5,18.85,0.01,18.6,32.07,59.16,15.71,1/4/2025 13:00
3150.94,46.49,20.56,0,23.6,58.41,106.01,21.03,1/4/2025 14:00
3417.97,49.62,20.91,0,23.37,72.65,133.29,20.77,1/4/2025 15:00
3471.37,50.07,20.39,0,21.7,74.16,138.52,17.48,1/4/2025 16:00
3150.94,46.94,19.19,0,17.88,63.33,123.02,11.91,1/4/2025 17:00
2590.18,38,17.48,0,13.83,54.52,108.6,9.25,1/4/2025 18:00
1922.61,25.7,15.42,0,10.37,44.84,90.07,8.49,1/4/2025 19:00
1455.31,17.43,13.88,0,8.58,37.38,73.75,8.23,1/4/2025 20:00
1281.74,14.19,13.02,0.01,8.23,34.49,65.73,7.73,1/4/2025 21:00
1281.74,14.75,12.68,0.01,8.82,34.11,63.5,7.22,1/4/2025 22:00
1401.9,17.21,13.02,0.01,10.37,32.37,58.97,7.41,1/4/2025 23:00
2136.23,31.29,14.74,0.28,16.69,39.2,66.73,10.89,1/5/2025 0:00
2964.02,47.83,18.34,1.3,24.32,43.56,72.03,14.44,1/5/2025 1:00
3337.86,53.2,25.7,4.34,28.61,49.28,82.4,18.49,1/5/2025 2:00
2750.4,32.19,38.04,20.21,25.99,47.11,81.62,19,1/5/2025 3:00
1068.12,6.09,17.65,43.99,10.97,15.84,27.99,7.28,1/5/2025 4:00
801.09,2.77,13.19,44.35,7.87,9.49,16.16,4.88,1/5/2025 5:00
801.09,1.73,15.42,34.33,7.87,7.83,13.27,4.43,1/5/2025 6:00
834.47,1.12,17.82,22.71,7.87,7.01,12.16,4.31,1/5/2025 7:00
907.9,1.72,20.56,16.63,8.82,7.66,13.22,4.75,1/5/2025 8:00
1041.41,2.6,24.68,10.64,10.01,8.8,14.71,5.13,1/5/2025 9:00
1949.31,18.1,33.59,3,16.69,17.9,28.07,8.36,1/5/2025 10:00
3524.78,50.07,38.04,0.17,27.18,36,55.62,13.81,1/5/2025 11:00
4112.24,62.58,36.33,0,29.8,51.69,82.07,18.49,1/5/2025 12:00
5233.76,81.36,37.36,0,35.29,86.14,136.6,26.09,1/5/2025 13:00
6942.75,107.29,42.16,0,41.01,140.94,223.11,31.92,1/5/2025 14:00
8224.49,125.17,45.93,0,43.39,192.54,307.33,36.48,1/5/2025 15:00
8544.92,132.32,45.93,0,41.48,210.05,342.53,33.94,1/5/2025 16:00
7476.81,118.02,42.5,0,32.9,178.79,300.09,22.55,1/5/2025 17:00
6195.07,98.35,38.04,0,26.7,151.44,259.69,16.97,1/5/2025 18:00
4592.9,71.53,30.85,0,20.27,120.93,213.34,13.05,1/5/2025 19:00
3685,55.88,26.05,0,17.4,110.39,197.2,13.93,1/5/2025 20:00
3524.78,52.3,23.99,0,18.12,118.84,210.29,17.73,1/5/2025 21:00
4005.43,60.8,24.68,0,20.74,142.24,245.78,20.77,1/5/2025 22:00
4325.87,67.06,25.02,0,22.41,144.24,244.99,18.24,1/5/2025 23:00
5500.79,88.51,27.76,0.23,31.95,147.93,241.23,20.77,1/6/2025 0:00
6034.85,103.71,32.9,1.07,42.44,120.15,191.12,23.31,1/6/2025 1:00
6835.94,114.44,47.3,2.37,52.45,120.78,188.97,32.93,1/6/2025 2:00
6141.66,88.51,67.86,4.87,54.36,111.23,177.6,38,1/6/2025 3:00
2029.42,16.09,42.5,0.6,23.37,31.01,54.22,14.82,1/6/2025 4:00
1188.28,6.98,29.82,0.89,17.88,15.03,26.78,8.99,1/6/2025 5:00
1068.12,6.2,28.79,1.06,20.03,12.86,21.83,7.22,1/6/2025 6:00
1054.76,5.25,29.82,1.63,21.7,12.88,20.59,6.21,1/6/2025 7:00
1174.93,5.09,31.19,2.03,19.31,13.66,21.43,6.71,1/6/2025 8:00
1335.14,5.48,32.22,2.12,16.21,13.99,21.81,7.35,1/6/2025 9:00
2082.82,20.34,34.62,0.37,20.98,20.52,31.24,9.5,1/6/2025 10:00
3578.19,50.51,37.7,0.01,30.28,38.02,56.42,14.82,1/6/2025 11:00
4325.87,63.48,40.44,0,33.38,57.71,85.67,19.76,1/6/2025 12:00
4859.92,71.53,42.5,0,35.76,83.3,122.44,24.32,1/6/2025 13:00
4806.52,69.74,40.44,0,34.81,96.57,145.02,24.57,1/6/2025 14:00
4325.87,61.69,34.96,0,30.52,97.12,150.7,22.29,1/6/2025 15:00
3631.59,51.86,28.79,0,26.23,81.13,134.25,17.48,1/6/2025 16:00
2563.48,37.55,23.65,0,19.79,51.03,92.05,10.51,1/6/2025 17:00
1615.52,21.9,19.36,0,14.54,30.7,59.39,7.28,1/6/2025 18:00
988.01,10.39,16.28,0.06,10.97,19.77,39.88,5.76,1/6/2025 19:00
787.73,6.48,14.91,0.17,9.78,16.66,32.6,5.26,1/6/2025 20:00
741,5.81,14.74,0.21,9.89,16.16,30.85,5,1/6/2025 21:00
761.03,7.04,14.91,0.14,10.97,16.34,30.82,5,1/6/2025 22:00
921.25,10.73,15.25,0.04,12.87,18.53,34.09,5.83,1/6/2025 23:00
1708.98,25.7,16.79,0.34,19.07,30.83,52.67,9.25,1/7/2025 0:00
2964.02,51.41,20.56,0.49,29.09,45.66,74.94,13.43,1/7/2025 1:00
3177.64,57.22,22.96,0.61,33.86,46.12,78.39,16.47,1/7/2025 2:00
2429.96,43.36,23.65,1.42,32.42,35.63,63.92,15.83,1/7/2025 3:00
1041.41,11.73,20.05,5.63,18.36,15.37,26.49,7.16,1/7/2025 4:00
881.2,7.6,19.54,14.31,16.45,12.78,20.11,5.26,1/7/2025 5:00
934.6,6.26,21.42,27.89,16.21,13.96,20.88,5,1/7/2025 6:00
988.01,4.25,23.99,40.77,15.74,15.91,23.41,5.32,1/7/2025 7:00
1028.06,2.79,28.1,38.27,15.97,16.6,24.56,5.51,1/7/2025 8:00
1094.82,1.54,33.59,22.71,16.45,15.78,23.52,5.19,1/7/2025 9:00
1789.09,11.62,44.55,2.39,22.65,21.1,30.92,6.59,1/7/2025 10:00
3070.83,43.81,40.44,0.02,29.56,35.17,51.03,9.25,1/7/2025 11:00
3631.59,57.22,33.93,0,30.52,49.82,73.83,11.15,1/7/2025 12:00
3898.62,62.58,30.16,0,30.52,68.01,102.02,13.81,1/7/2025 13:00
3685,59.01,27.42,0,29.33,76.93,120.72,14.31,1/7/2025 14:00
3391.27,52.3,24.33,0,26.7,80.07,129.92,13.81,1/7/2025 15:00
3017.43,46.49,21.93,0,23.6,70.6,114.39,10.64,1/7/2025 16:00
2376.56,37.1,19.54,0,18.6,49.83,76.86,6.21,1/7/2025 17:00
1695.63,25.48,17.65,0,15.14,36.2,52.52,4.56,1/7/2025 18:00
1281.74,17.43,16.62,0,12.64,31.01,43.72,4.24,1/7/2025 19:00
1228.33,16.09,16.28,0,12.52,32.94,45.65,4.69,1/7/2025 20:00
1228.33,16.76,16.62,0,13.95,36.06,50.16,5.13,1/7/2025 21:00
1401.9,21.01,17.31,0,15.97,42.02,59.27,5.76,1/7/2025 22:00
1922.61,31.29,18.51,0,19.07,53.89,77.65,7.03,1/7/2025 23:00
4058.84,71.53,22.62,0.03,30.99,95.9,136.9,13.3,1/8/2025 0:00
8224.49,153.78,33.24,0.17,53.41,161.1,222.6,18.49,1/8/2025 1:00
10040.28,189.54,42.84,0.26,61.99,183.74,251.77,18.75,1/8/2025 2:00
7263.18,130.53,45.24,0.55,51.02,136.81,191.83,16.72,1/8/2025 3:00
2109.53,25.26,40.1,2.53,28.61,40.99,60.91,8.36,1/8/2025 4:00
1228.33,4.92,35.64,12.16,23.13,20.7,32.1,6.52,1/8/2025 5:00
1081.47,1.82,32.56,28.61,23.37,16.6,26.05,5.57,1/8/2025 6:00
934.6,2.24,23.65,49.35,17.64,13.33,21.21,4.5,1/8/2025 7:00
1028.06,3.58,23.99,65.09,18.12,15.75,24.61,5.13,1/8/2025 8:00
1214.98,4.69,28.45,73.67,20.27,19.17,28.93,5.89,1/8/2025 9:00
2243.04,7.82,56.89,55.07,28.61,31.61,45.96,9.37,1/8/2025 10:00
4058.84,14.98,104.19,11,40.53,57.17,81.94,14.95,1/8/2025 11:00
5073.55,25.26,117.9,0.04,48.16,89.49,127.45,19.51,1/8/2025 12:00
8544.92,76.89,135.72,0,64.85,186.11,257.07,30.65,1/8/2025 13:00
12390.14,137.69,148.06,0,73.43,312.23,425.99,36.98,1/8/2025 14:00
13351.44,157.36,139.83,0,71.53,369.63,505.7,38,1/8/2025 15:00
12283.33,153.78,117.9,0,63.9,334.07,457.07,29.89,1/8/2025 16:00
10147.09,134.11,97.33,0,47.68,251.9,343.21,14.82,1/8/2025 17:00
7049.56,89.41,75.4,0,31.95,169.8,231.29,8.99,1/8/2025 18:00
2616.88,25.7,43.18,0,18.6,66.36,94.79,6.4,1/8/2025 19:00
1949.31,17.88,33.93,0,16.45,56.71,81.41,6.52,1/8/2025 20:00
1842.5,17.66,30.5,0,16.69,58.54,82.07,6.4,1/8/2025 21:00
1895.9,20.79,28.1,0,18.6,60.42,81.86,6.4,1/8/2025 22:00
2189.64,27.94,27.08,0,22.65,64.07,86.91,7.66,1/8/2025 23:00
3898.62,60.8,30.16,0.02,34.81,95.13,132.41,14.57,1/9/2025 0:00
7156.37,125.17,39.41,0.07,52.93,139.12,188.52,19,1/9/2025 1:00
8544.92,153.78,47.98,0.19,60.08,155.43,207.16,17.23,1/9/2025 2:00
7156.37,125.17,55.52,0.68,57.22,136.39,183,15.2,1/9/2025 3:00
4005.43,57.22,57.58,0.87,42.92,77.81,106.52,10.51,1/9/2025 4:00
2857.21,28.61,57.58,1.99,35.76,52.97,74.45,8.87,1/9/2025 5:00
2323.15,12.85,61.69,6.08,31.95,41.37,57.74,8.04,1/9/2025 6:00
1949.31,5.25,53.47,36.48,26.94,35.54,49.11,7.47,1/9/2025 7:00
1789.09,2.57,50.04,63.66,26.23,34.71,46.89,7.09,1/9/2025 8:00
1842.5,2.51,52.09,63.66,28.13,33.56,44.93,6.84,1/9/2025 9:00
3471.37,13.19,89.11,20.38,38.15,49.44,66.29,9.88,1/9/2025 10:00
6675.72,67.95,106.93,0.59,52.45,90.8,122.1,14.44,1/9/2025 11:00
8651.73,105.5,105.56,0,57.7,138.86,190.66,20.01,1/9/2025 12:00
9292.6,113.55,108.3,0,59.13,180.6,248.71,26.09,1/9/2025 13:00
8438.11,98.35,102.82,0,54.36,190.35,265.01,25.84,1/9/2025 14:00
7263.18,78.68,93.22,0,48.64,183.34,260.82,24.32,1/9/2025 15:00
6942.75,74.21,87.05,0,45.3,181.62,259.12,20.27,1/9/2025 16:00
6782.53,72.42,85.68,0,37.19,169.9,238.09,12.67,1/9/2025 17:00
5661.01,54.54,78.83,0,27.42,139.59,190.58,8.04,1/9/2025 18:00
4112.24,30.85,67.17,0,18.12,107.02,140.3,6.21,1/9/2025 19:00
3177.64,18.1,58.95,0.01,14.31,91.75,118.47,5.95,1/9/2025 20:00
2910.61,14.75,54.15,0.01,14.42,93.77,121.62,6.14,1/9/2025 21:00
2750.4,14.19,53.47,0.02,16.21,94.72,122.31,6.27,1/9/2025 22:00
3017.43,22.58,51.41,0,19.55,101.76,133.07,7.47,1/9/2025 23:00
5233.76,66.16,52.78,0.1,32.42,146.92,196.38,13.68,1/10/2025 0:00
9826.66,157.36,65.12,0.54,56.74,217.44,288.31,19,1/10/2025 1:00
12603.76,202.06,94.59,2.19,70.57,255.32,337.36,25.33,1/10/2025 2:00
9719.85,113.55,134.35,12.16,61.99,204,274.89,28.63,1/10/2025 3:00
1695.63,7.82,42.5,61.51,25.51,34.41,52.73,8.04,1/10/2025 4:00
921.25,3.63,22.62,85.12,19.55,16.52,27.77,5.45,1/10/2025 5:00
847.82,3.46,20.22,94.41,18.6,13.98,22.96,4.43,1/10/2025 6:00
841.14,3.24,19.54,94.41,16.93,12.49,20.13,3.96,1/10/2025 7:00
881.2,3.07,22.28,82.97,16.69,12.16,19.65,4.02,1/10/2025 8:00
988.01,2.71,28.1,69.38,18.84,13.31,21.07,4.31,1/10/2025 9:00
1615.52,3.91,51.41,40.77,29.09,20.51,30.83,6.21,1/10/2025 10:00
2590.18,6.09,77.46,9.83,35.76,33.96,49.86,9.37,1/10/2025 11:00
3097.53,9.83,79.51,0.75,34.33,48.77,71.37,11.53,1/10/2025 12:00
4806.52,39.34,82.94,0.01,41.01,95.27,136.53,16.21,1/10/2025 13:00
6622.31,71.53,87.74,0,45.78,157.07,220.6,18.49,1/10/2025 14:00
7263.18,82.25,90.48,0,44.82,197.02,273.53,19,1/10/2025 15:00
7156.37,82.25,91.85,0,41.01,198.56,276.89,16.97,1/10/2025 16:00
5714.42,64.37,87.74,0,31.95,156.22,219.6,10.13,1/10/2025 17:00
3791.81,34.87,74.71,0,21.22,110.61,154.41,6.4,1/10/2025 18:00
2243.04,10.95,53.47,0.12,12.76,73.97,100.77,5.19,1/10/2025 19:00
1548.77,3.86,35.64,0.69,8.82,55.51,73.22,4.62,1/10/2025 20:00
1281.74,2.77,26.39,0.96,7.87,46.3,60.28,4.37,1/10/2025 21:00
1188.28,4.19,22.28,0.45,8.58,39.45,52.98,4.37,1/10/2025 22:00
1295.09,8.83,20.39,0.07,10.49,37.33,52.97,5.07,1/10/2025 23:00
2136.23,25.93,21.25,0.52,16.69,48.92,72.72,8.04,1/11/2025 0:00
3631.59,54.54,27.42,0.72,26.94,66.22,99.8,11.4,1/11/2025 1:00
3898.62,59.9,33.24,0.92,32.42,67.49,105.75,15.71,1/11/2025 2:00
2830.51,37.1,40.44,3.93,33.86,54.14,88.24,17.48,1/11/2025 3:00
1054.76,3.74,33.24,26.46,25.27,22.51,34.26,6.46,1/11/2025 4:00
774.38,1.59,23.31,47.92,21.22,15.42,22.35,4.12,1/11/2025 5:00
761.03,1.58,21.42,61.51,21.46,14.79,20.85,3.51,1/11/2025 6:00
934.6,1.65,26.39,62.94,25.75,19.57,26.9,4.37,1/11/2025 7:00
1268.39,1.52,38.04,53.64,30.52,27.53,36.85,5.76,1/11/2025 8:00
1682.28,0.79,55.52,41.13,36.24,36.74,47.33,6.21,1/11/2025 9:00
3044.13,7.15,90.48,8.23,39.1,54.52,69.56,7.66,1/11/2025 10:00
4592.9,37.55,91.85,0.06,38.15,72.14,94.33,9.25,1/11/2025 11:00
4966.74,52.3,74.03,0,33.38,81.95,112.25,11.02,1/11/2025 12:00
4806.52,56.33,56.89,0,30.52,91.28,131.81,13.3,1/11/2025 13:00
3791.81,43.81,40.1,0,25.27,81.34,127.92,12.29,1/11/2025 14:00
2750.4,29.06,28.79,0,19.31,63.02,108.65,10.77,1/11/2025 15:00
2056.12,20.34,22.96,0.01,14.66,44.43,78.42,7.92,1/11/2025 16:00
1562.12,14.75,19.36,0.03,10.97,27.92,48.88,4.75,1/11/2025 17:00
1108.17,8.16,16.62,0.19,8.34,18.47,31.88,3.64,1/11/2025 18:00
787.73,2.99,14.39,1.42,6.68,13.69,24.3,3.39,1/11/2025 19:00
674.25,1.42,13.02,2.95,6.2,12.09,22.14,3.51,1/11/2025 20:00
640.87,1.31,12.51,3.13,6.32,11.58,21.52,3.61,1/11/2025 21:00
654.22,2.1,12.68,2.08,6.97,11.28,21.46,3.7,1/11/2025 22:00
767.71,4.53,13.19,0.78,8.11,12.21,23.32,4.18,1/11/2025 23:00
1348.5,15.87,14.05,1.11,12.4,20.51,36.4,6.52,1/12/2025 0:00
2269.74,33.08,18.16,0.72,19.07,30.65,52.12,8.99,1/12/2025 1:00
2376.56,35.32,20.39,1.5,20.74,31.77,55.58,10.77,1/12/2025 2:00
1895.9,24.81,23.31,3.31,19.31,28.19,51.77,12.03,1/12/2025 3:00
1014.71,4.19,20.91,14.48,9.78,13.67,23.5,6.14,1/12/2025 4:00
827.79,1.54,16.96,23.25,7.27,9.79,15.35,4.56,1/12/2025 5:00
787.73,1.13,15.59,25.39,6.44,8.04,12.3,3.89,1/12/2025 6:00
747.68,1.13,14.05,22.53,5.66,6.42,10.33,3.61,1/12/2025 7:00
767.71,1.55,14.57,16.81,6.14,5.98,10.18,3.83,1/12/2025 8:00
854.49,2.68,16.45,11.62,7.09,6.43,11.21,4.18,1/12/2025 9:00
1455.31,12.41,23.99,4.2,13.59,12.74,22.42,7.35,1/12/2025 10:00
1922.61,23.47,24.33,0.4,17.4,18.89,33.81,9.88,1/12/2025 11:00
1842.5,23.25,20.73,0.01,15.74,21.38,38.85,10.26,1/12/2025 12:00
1735.69,20.56,18.51,0.01,14.9,25,45.51,10.51,1/12/2025 13:00
1588.82,17.43,17.14,0.01,13.71,26.18,50.19,10.26,1/12/2025 14:00
1468.66,14.98,16.11,0.03,12.52,26.4,52.54,9.75,1/12/2025 15:00
1375.2,13.75,15.25,0.04,11.21,23.01,47.11,8.11,1/12/2025 16:00
1134.87,10.95,14.39,0.08,9.3,16.17,34.77,5.7,1/12/2025 17:00
961.3,8.72,13.88,0.13,9.18,14.4,30.54,5.45,1/12/2025 18:00
787.73,5.87,13.19,0.34,8.58,13.12,27.74,5.32,1/12/2025 19:00
687.6,3.97,12.68,0.74,8.11,11.97,25.21,5.07,1/12/2025 20:00
647.54,3.27,12.68,1.05,8.23,11.51,24.17,4.88,1/12/2025 21:00
680.92,4.02,13.19,0.79,9.06,11.95,24.72,4.88,1/12/2025 22:00
807.76,6.54,13.88,0.34,10.13,13.67,27.22,5.38,1/12/2025 23:00
1415.25,17.88,15.08,0.25,14.42,23.2,41.62,7.92,1/13/2025 0:00
2376.56,36.66,17.82,0.51,20.74,33.29,55.24,10.26,1/13/2025 1:00
2510.07,40.23,19.54,0.8,22.65,32.99,54.8,11.78,1/13/2025 2:00
2029.42,28.39,19.54,1.61,20.5,26.32,46.21,12.03,1/13/2025 3:00
1068.12,7.49,19.19,2.68,11.8,12.46,21.82,6.97,1/13/2025 4:00
961.3,5.42,20.91,2.28,13.23,10.65,17.72,5.83,1/13/2025 5:00
1014.71,6.15,25.36,1.7,17.88,12.35,19.2,5.38,1/13/2025 6:00
1108.17,5.76,31.87,2.62,22.65,15.38,23.12,5.51,1/13/2025 7:00
1321.79,7.6,37.01,3.76,24.08,19.05,28.42,6.27,1/13/2025 8:00
1602.17,12.74,36.67,2.28,21.93,20.59,30.98,6.84,1/13/2025 9:00
2109.53,24.59,32.56,0.66,20.5,22.77,35.01,7.85,1/13/2025 10:00
2483.37,33.53,28.79,0.09,20.98,25.6,41.68,9.12,1/13/2025 11:00
2349.85,30.85,25.7,0,19.55,28.76,49.04,10.77,1/13/2025 12:00
2403.26,31.74,24.33,0,21.46,37.76,66.19,13.93,1/13/2025 13:00
2296.45,29.5,22.96,0,21.22,42.63,78.06,14.69,1/13/2025 14:00
2029.42,24.14,20.56,0,18.6,40.71,77.07,13.55,1/13/2025 15:00
1815.8,21.46,18.68,0,16.21,34.76,67.87,11.02,1/13/2025 16:00
1548.77,18.33,17.48,0.01,13.59,25.07,50.97,7.28,1/13/2025 17:00
1214.98,13.41,15.94,0.02,11.68,19.95,40.97,5.83,1/13/2025 18:00
961.3,8.72,14.57,0.08,9.89,17.29,35.29,5.26,1/13/2025 19:00
854.49,6.82,14.05,0.13,9.42,16.95,33.56,5.13,1/13/2025 20:00
854.49,6.98,14.22,0.11,10.01,18.23,35.07,5.26,1/13/2025 21:00
934.6,9.5,14.91,0.04,11.68,20.65,38.65,5.57,1/13/2025 22:00
1161.58,14.31,15.77,0.01,13.83,24.36,43.51,6.33,1/13/2025 23:00
2162.93,33.08,18.34,0.15,20.5,40.71,67.06,10.01,1/14/2025 0:00
3738.4,63.48,22.96,0.39,29.8,58.87,90.09,12.41,1/14/2025 1:00
3898.62,68.84,25.7,0.73,32.42,59.81,90.57,13.17,1/14/2025 2:00
2964.02,51.86,27.08,1.5,30.99,51.38,79.34,13.43,1/14/2025 3:00
1441.96,16.32,28.45,2.1,21.22,24.95,37.67,6.59,1/14/2025 4:00
1375.2,13.3,34.62,2.19,24.56,25.39,36.36,5.89,1/14/2025 5:00
1615.52,15.42,44.55,1.32,30.52,30.99,42.67,6.02,1/14/2025 6:00
1949.31,18.78,53.47,2.5,33.86,38.51,52.52,6.97,1/14/2025 7:00
2243.04,20.79,57.58,3.98,32.42,41.62,57.25,8.04,1/14/2025 8:00
2563.48,24.81,55.52,3.4,29.09,40.6,56.91,8.87,1/14/2025 9:00
3417.97,42.92,54.15,1.9,31.95,46.63,67.82,10.89,1/14/2025 10:00
4219.06,60.8,50.72,0.34,34.81,55.11,83.06,12.29,1/14/2025 11:00
